Branch,PEKALONGAN ,Jl. Singosari No.1 Pekalongan,PEKALONGAN,,(0285) 433077,(0285) 435276,0811 291924
Branch,PURWOKERTO ,Jl. Jendral Sudirman no. 925 Purwokerto,PURWOKERTO ,53148,(0281) 630217,,0816 697429
Branch,MAGELANG ,Jl. Gatot Subroto No.2 Magelang,MAGELANG ,56172,(0293) 363985,,0815 6579760
Branch,BOYOLALI ,Jl. Randu Asri Siswodipuran Boyolali,BOYOLALI ,57311,(0276) 321288,,0821 35485050
Branch,SURAKARTA,Jl. KH Agus Salim no.2 Surakarta,SURAKARTA,,(0271) 722593,,0815 6579754
Branch,KUDUS ,Jl. Bhakti no. 50 Kudus,KUDUS ,59300,(0291) 435587,,0815 6579258
Branch,YOGYAKARTA ,"Jl. Gedong Kuning no.130 A, Yogyakarta",YOGYAKARTA ,,(0274) 372712,(0274) 370477,0815 6579780
Divre,VII,l. Raya Jemursari 234 Kota Surabaya,SURABAYA ,,(031) 8432541,,
Branch,SURABAYA ,Jl. Raya Dharmahusada Indah No. 2 Kota Surabaya,SURABAYA ,60285,(031) 5947747,,0813 31819776
Branch,BOJONEGORO,Jl. Basuki Rahmat 65 A Kab. Bojonegoro,BOJONEGORO,62116,(0353) 884908,,0852 32581302
Branch,MADIUN ,Jl. Timor No. 6 Kota Madiun,MADIUN ,63113,(0351) 463324,,0812 5914682
Branch,UTAMA KEDIRI,Jl. Hasanudin No. 57 Kota Kediri,UTAMA KEDIRI,,(0354) 690306,,0812 5905194
Branch,MOJOKERTO ,"Jl. Gajah Mada No. 51 - 53 Balongsari, Mojokerto",MOJOKERTO ,,(0321) 330505 ,,
Branch,MALANG ,Jl.  Tumenggung Suryo No. 44 Kota Malang,MALANG ,,(0341) 493026,(0341) 486044,0815 5516665
Branch,PASURUAN ,Jl. Sultan Agung II No. 1  Ð  Kota Pasuruan,PASURUAN ,67118,(0343) 427454,,0815 5907177
Branch,JEMBER ,Jl. Jawa No. 55 Kabupaten Jember,JEMBER ,68121,(0331) 330268,,0812 3478139
Branch,BANYUWANGI ,Jl. Letkol. Istiglah No. 93 Kabupaten Banyuwangi,BANYUWANGI ,68422,(0333) 410644,,0813 36745464
Branch,PAMEKASAN ,"Jl. Raya Panglegur km. 02,  Kabupaten Pamekasan",PAMEKASAN ,,(0324) 334450,,0821 40004500
Divre,VIII,"Jl. Ruhui Rahayu No.8 RT.25 Sepinggan Baru, Balikpapan, Kalimantan Timur ",BALIKPAPAN,76115,(0542) 7218682,,
Branch,SAMARINDA ,"Jl. Sentosa No.16 Samarinda, Kalimantan Timur",SAMARINDA ,75117,(0541) 736417,,0812 5391537
Branch,BALIKPAPAN,Jl. Blora I No.3 Balikpapan,BALIKPAPAN,76113,(0542) 731864 ,,0812 5874704
Branch,TARAKAN ,"Jl. Pangeran Diponegoro No. 06, Tarakan, Kalimantan Timur",TARAKAN ,77114,(0551) 22777,,0811 5410639
Branch,BANJARMASIN ,"Jl. A. Yani KM. 3 No. 139 Banjarmasin, Kalimantan Selatan",BANJARMASIN ,70249,(0511) 3251204,(0511) 3263919,0813 51886000
Branch,BARABAI ,"Jl. Murakata No. 3 Barabai, Kalimantan Selatan",BARABAI ,71313,(0517) 41147,, 0811 509100
Branch,PALANGKARAYA,"Jl. Diponegoro No. 27 Palangkaraya, Kalimantan Tengah ",PALANGKARAYA,,(0536) 3222781,, 0813 49755392
Branch,SAMPIT ,"Jl. MT Haryono Barat No. 199 Sampit, Kalimantan Tengah",SAMPIT ,,(0531) 32432,(0531) 24966,0816 4503496
Branch,MUARA TEWEH ,"Jl. A. Yani No. 57 Muara Teweh, Kalimantan Tengah",MUARA TEWEH ,73811,(0519) 21259,(0519) 23899,0812 4853520
Divre,IX,Jl. Andi Pangerang Pettarani No.78 Makassar,MAKASSAR,90013,(0411) 452416,(0411) 444442,
Branch,MAKASSAR ,"Jl. Andi Pangerang Pettarani No.78, Lantai 1, Makassar",MAKASSAR ,90013,(0411) 456057,(0411) 5075730, 0812 4115771
Branch,BULUKUMBA,"Jl. Kenari Kabupaten, Bulukumba ",BULUKUMBA,92411,(0413) 81313,,0812 4115773
Branch,WATAMPONE,"Jl. HOS Cokroaminoto No. 34, Watampone ",WATAMPONE,92733,(0481) 22784,,0812 4115774
Branch,PARE - PARE,"Jl.Jend Sudirman No.105,  Pare-Pare",PARE - PARE,91122,(0481) 22784,(0481) 22395,0812 41158776
Branch,POLEWALI  MANDAR,"Jl.Dr Ratulangi Poros Mamasa, Polewali Mandar",POLEWALI  MANDAR,,(0428) 21294 ,,0811 420 7996
Branch,PALOPO ,"Jl. Andi Mas Jaya No.23, Kota Palopo",PALOPO ,,(0471) 22223,,0813 556 25000
Branch,KENDARI ,"Jl. Mayjen S. Parman No. 74 Kendari, Sulawesi Tenggara ",KENDARI ,,(0401) 3122050,(0401) 3124903,0813 41828928
Branch,BAU-BAU ,"Jl.Sultan Dayanu Ikhsanuddin,  Bau-Bau",BAU-BAU ,,(0402) 2826897,(0402) 2826898,0852 41741695
Branch,AMBON ,"Jl.IR. M.Putuhena Weilela, Ambon",AMBON ,,(0911) 3825199,,0853 54191111
Branch,MAMUJU ,"Jl. Pangeran Dipenogoro (Depan Matahari Mas), Mamuju",MAMUJU ,,,,0812 4190501
Divre,X,"Jl. Tololiu Supit No. 11 Kelurahan Tingkulu, Manado",MANADO,95119,(0431) 863565,,
Branch,MANADO ,"Jl. Tololiu Supit No. 11 Kelurahan Tingkulu, Manado",MANADO ,95119,(0431) 867214 ,,0813 40471000
Branch,GORONTALO,"Jl. Sultan Botutihe (ex Jl. Nani Wartabone) No. 58, Kota Gorontalo",GORONTALO,96112,(0435) 823000,,0811 4342444
Branch,PALU ,Jl. Prof. Moh. Yamin No. 31 Palu,PALU ,,(0451) 482394,,0813 41369094
Branch,LUWUK ,"Jl. Imam Bonjol No. 135 KM 2, Luwuk",LUWUK ,94714,(0461) 21706,,0813 41141700
Branch,TERNATE,"Jl. Cempaka Maliaro Komplek RSUD, Ternate",TERNATE,97711,(0921) 3122289 ,,0813 56876876
Branch,TONDANO,"Jl. Walanda Maramis No 154, Kendis Tondano Timur, Minahasa ",TONDANO,95613,(0431) 321235,, 0811 4308834
Divre,XI,Jl. Raya Puputan Komplek Niti Mandala Renon Denpasar,BALI,80232,(0361) 222206,,
Branch,DENPASAR ,Jl. D.I. Panjaitan No.6 Niti Mandala Renon Denpasar,DENPASAR ,80232,(0361) 225057,, 0812 3656531
Branch,KLUNGKUNG ,"Jl. Gajah Mada No. 55 A Semarapura, Bali",KLUNGKUNG ,80711,(0366) 22767,(0366) 29014,0812 3655206
Branch,MATARAM ,"Jl. Bung Karno Kotak Pos 1019, Mataram",MATARAM ,83231,(0370) 638313,,0813 39967777
Branch,KUPANG ,"Jl. W.J. Lalamentik, Kupang",KUPANG ,,(0380) 831308,,0380 8205401
Branch,MAUMERE ,"Jl. Wairkalu, Maumere",MAUMERE ,86113,(0382) 23747,(0382) 23748,
Branch,ENDE ,"Jl. Melati Bawah, Ende",ENDE ,,(0381) 21168,,
Branch,WAINGAPU," Jl. Jend. Soeharto, Waingapu Kotak Pos 152 Waingapu",WAINGAPU,87112,(0387) 61512 ,,0815 53998349
Branch,BIMA ,"Jl. Kesehatan No. 2, BIMA",BIMA ,,(0374) 646615,,0813 39992302
Branch,SINGARAJA ," Jl. Ngurah Rai No. 64 , Kota Singaraja, Kabupaten Buleleng, Bali",SINGARAJA ,,(0362) 3437000 ,,0852 37844364
Divre,XII,"Jl. Raya Kotaraja No. 46 PO BOX 152 Abepura, Jayapura",JAYAPURA,99225,(0967) 581638,(0967) 587864,
Branch,JAYAPURA ,"Jl. Raya Kotaraja No. 46 PO BOX 152, Abepura, Jayapura",JAYAPURA,99225,(0967) 587331,(0967) 581246,0815 27061888
Branch,SORONG ,"Jl. Sungai Maruni KM10 Masuk, Samping Ruko Yupiter, Sorong",SORONG ,,(0951) 329753,,0811 485934
Branch,BIAK NUMFOR,"Jl. Sriwijaya Kelurahan Mandouw, Biak Numfor",BIAK NUMFOR,98117,(0981) 21466,,0811 4904162
Branch,MERAUKE ,"Jl. Brawijaya samping Toko Matahari, Merauke Papua",MERAUKE ,,(0971) 325459,,0821 98199991
Branch,MANOKWARI ,"Jl. Drs. Esau Sesa  Komplek Ruko Persada Wosi, Manokwari, Papua Barat",MANOKWARI ,,(0986 )211416,,0811 4828822
