Branch,Kabupaten,Type,Name,Address,Telephone,Class,Kecamatan,Lat,Long
GORONTALO,GORONTALO,P1,PKM Ulantha,Desa Ulantha,085240048675,,,,
GORONTALO,GORONTALO,P1,PKM Atinggola,Desa Kota Jin Kec. Atinggola,081340679768,,,,
GORONTALO,GORONTALO,P1,PKM Gentuma,Desa Gentuma,082195096788,,,,
GORONTALO,GORONTALO,P1,PKM Dambalo,Desa Tomilito,081340001390,,,,
GORONTALO,GORONTALO,P1,PKM Ponelo,Desa Ponelo,085256586923,,,,
GORONTALO,GORONTALO,P1,PKM Kwandang Medical Center,Desa Kwandang,085240020174,,,,
GORONTALO,GORONTALO,P1,PKM Molingkapoto,Desa Molingkapoto,085240491007,,,,
GORONTALO,GORONTALO,P1,PKM Anggrek,Desa Anggrek,081321304370,,,,
GORONTALO,GORONTALO,P1,PKM Ilangata,Desa Ilangata,085240232523,,,,
GORONTALO,GORONTALO,P1,PKM Monano,Desa Monano,085241950024,,,,
GORONTALO,GORONTALO,P1,PKM Dulukapa,Desa Dulukapa,081244426620,,,,
GORONTALO,GORONTALO,P1,PKM Sumalata,Desa Sumalata,081340371345,,,,
GORONTALO,GORONTALO,P1,PKM Buloila,Desa Buloila,081356902111,,,,
GORONTALO,GORONTALO,P1,PKM Biau,Desa Biau,085398625403,,,,
GORONTALO,GORONTALO,P1,PKM Tolinggula,Desa Tolinggula,081356224666,,,,
GORONTALO,GORONTALO,P1,PKM Limbato,Desa Limbato,081340138103,,,,
GORONTALO,GORONTALO,P1,PKM Paguat,Desa Siduan,085298612020,,,,
GORONTALO,GORONTALO,P1,PKM Dengilo,Desa.  Popaya,085256090858,,,,
GORONTALO,GORONTALO,P1,PKM Marisa,Desa. Marisa Selatan,081340454255,,,,
GORONTALO,GORONTALO,P1,PKM Duhiadaa,Desa Duhiadaa,085298281040,,,,
GORONTALO,GORONTALO,P1,PKM Buntulia,Desa Taluduyunu,085256661319,,,,
GORONTALO,GORONTALO,P1,PKM Patilanggio,Desa Dulomo,085240751125,,,,
GORONTALO,GORONTALO,P1,PKM Motolohu,Desa Motolohu,085298011226,,,,
GORONTALO,GORONTALO,P1,PKM Wanggarasi,Desa Wonggarasi Tengah,082195699953,,,,
GORONTALO,GORONTALO,P1,PKM Wonggarasi I,Desa Suka Makmur,081233722877,,,,
GORONTALO,GORONTALO,P1,PKM Lemito,Desa Lemito,085240007616,,,,
GORONTALO,GORONTALO,P1,PKM Popayato,Desa Popayato,082271101780,,,,
GORONTALO,GORONTALO,P1,PKM Popayato Barat,Desa Dudewulo,085241997797,,,,
GORONTALO,GORONTALO,P1,PKM Popayato Timur,Desa Tahele,085343668250,,,,
GORONTALO,GORONTALO,P1,PKM Pancakarsa I,Desa Panca Karsa I,085240942811,,,,
GORONTALO,GORONTALO,P1,PKM Pancakarsa II,Desa Panca Karsa II,085242850567,,,,
GORONTALO,GORONTALO,P1,PKM Wonggarasi II,Desa Bohusami,085240284064,,,,
GORONTALO,GORONTALO,P1,PKM Sipatana,Kel. Sipatana,085298456530,,,,
GORONTALO,GORONTALO,P1,PKM Dumbo Raya,Jl. Mayor Dula,085240555989,,,,
GORONTALO,GORONTALO,P1,PKM Wongkaditi,Jl. Pangeran Hidayat,085398535927,,,,
GORONTALO,GORONTALO,P1,PKM Dulalowo,Jl. Sulawesi,08124416894,,,,
GORONTALO,GORONTALO,P1,PKM Tamalate,Jl. Sultan Botutihe,085340470707,,,,
GORONTALO,GORONTALO,P1,PKM Limba B,Jl. Mohammad Yamin,085298725374,,,,
GORONTALO,GORONTALO,P1,PKM Pilolodaa,Jl. Usman Isa No. 668,085340464175,,,,
GORONTALO,GORONTALO,P1,PKM Buladu,Jalan Rambutan,,,,,
GORONTALO,GORONTALO,P1,PKM Dungingi,Jalan Anggur,085240831632,,,,
GORONTALO,GORONTALO,P2,DR. ARIYANTO HABIBIE,"Desa Bongogoayu, Kec. Boliyohuto",85240000350,,,,
GORONTALO,GORONTALO,P2,DR. SRI RAHMAWATI PONTO,"Desa Sukamakmur, Kec Tolangohula",85240216262,,,,
GORONTALO,GORONTALO,P2,DR. CHANDRA LASIMPALA,"Jl. Limboto Raya, Desa Mongolato, Kec Telaga",81340118602,,,,
GORONTALO,GORONTALO,P2,DR. SRI DARSIANTI TUNA,"Jl. A. Yani No.148, Limboto",85240180098,,,,
GORONTALO,GORONTALO,P2,DR. RASMIN JUNUS,"Jl. Raya Batudaa NO. 42, Desa Tolotio, Kec. Tabongo",81356049971,,,,
GORONTALO,GORONTALO,P2,DR. ZAINUN RAHMAN,"Jl. A. Yani (Apotek Rahmat Fia Farma), Limboto",85256560774,,,,
GORONTALO,GORONTALO,P2,DR. FRIDA RUNTULALU,"Jl. Trans Sulawesi, Kec Tolotio, Kec Tibawa",8124463534,,,,
GORONTALO,GORONTALO,P2,DR. DIANA UMAR,"Jl. Iloponu, Desa Lamahu, Kec. Bulango Selatan",8124469630,,,,
GORONTALO,GORONTALO,P2,DR. RUSLI KATILI,"Jl. Nani Wartabone, Desa Olohuta",85256843180,,,,
GORONTALO,GORONTALO,P2,DR. WIDYA PERTIWI BACHMID,"Jl. S. Botutihe, Kel. Pauwo, Kec. Kabila",85298285855,,,,
GORONTALO,GORONTALO,P2,DR. SRI A. IBRAHIM,"Jl. Beringin No. 60, Kel. Buladu, Kec. Kota Barat",81340069867,,,,
GORONTALO,GORONTALO,P2,DR. IRFANDI HUSA,"Jl. S. Botutihe (Apotek Afiah), Kel. Ipilo, Kec. Kota Timur",81356618661,,,,
GORONTALO,GORONTALO,P2,DR. NURYANA ALINTI,"Jl. Farid Liputo No. 16, Kel. Bugis, Kec. Dumbo Raya",85211088560,,,,
GORONTALO,GORONTALO,P2,DR. MEDY SARITA,"Jl. No. 56, Kel Dulalowo Timur, Kec. Kota Timur",8124439730,,,,
GORONTALO,GORONTALO,P2,DR. F.A MAKSUD,"Jl. A.Yani No. 50, Kel. Heledulaa Selatan, Kec. Kota Timur",8124463839,,,,
GORONTALO,GORONTALO,P2,DR. SILVANA SONDAKH,"Jl. Raja Eyato, Kec. Kota Barat",82188665713,,,,
GORONTALO,GORONTALO,P2,DR. ARIFIN PARAMANI,"Jl. H.B. Jassin No. 269, Kota Gorontalo",85255626720,,,,
GORONTALO,GORONTALO,P2,DR. SUNARTI TUAH,Apotik Kimia Farma Jl. Sultan Botutihe No.1 Gorontalo,8124422123,,,,
GORONTALO,GORONTALO,P2,DR. HERNI A. PAKAYA,Jl. Basuki Rahmat No. 8 Gorontalo,85240180098,,,,
GORONTALO,GORONTALO,P2,DR. NURHAYATI LAHAY,Apotik Kimia Farma Jl. A. Yani No.25,,,,,
GORONTALO,GORONTALO,P2,DR. ARIFIN ABUBAKAR,Apotik Kimia Farma Jl. Sultan Botutihe No.1 Gorontalo,811434104,,,,
GORONTALO,GORONTALO,P2,DR. SRI FENTY NURHAIDA SAGAF,"Jl. M.T. Mopili, Desa Cisadane, Kec. Kwandang",85240700623,,,,
GORONTALO,GORONTALO,P3,DRG. RILLA RITA THAIB,Jl. Hos Cokroaminoto No. 266 Kel. Kayubulan Kec. Limboto,081356121720,,,,
GORONTALO,GORONTALO,P3,DRG. FAISAL IDRUS,Apotik Mirah Jl. Agus Salim Kota Gorontalo,08124416894,,,,
GORONTALO,GORONTALO,P3,DRG. DELIYANA I KATILI,Apotik Kimia Farma Jl. Sultan Botutihe No.1 Gorontalo,0811434104 ,,,,
GORONTALO,GORONTALO,P3,DRG. RAMA TRI YUSTORO,Jl. Trans Sulawesi Desa Buntulea Selatan Kec. Duhiadaa Kab. Pohuwato,081340789380,,,,
GORONTALO,GORONTALO,L1,RSUD Prof. Dr. H. Aloei Saboe ,Jl. Prof. Dr. H. Aloei Saboe,-,,,,
GORONTALO,GORONTALO,L1,RSUD Otanaha,Jl. Usman Isa,-,,,,
GORONTALO,GORONTALO,L1,RSUD Dunda Limboto,Jl. Achmad A. Wahab,0435-880047,,,,
GORONTALO,GORONTALO,L1,RSUD Toto Kabila,Jl. Kesehatan,085298426283,,,,
GORONTALO,GORONTALO,L1,RSUD Tombulilato,Jl. Trans Sulawesi,-,,,,
GORONTALO,GORONTALO,L1,RSUD Tani dan Nelayan,Jl. Prof dr. H. Aloei Saboe,-,,,,
GORONTALO,GORONTALO,L1,RSUD Pohuwato,Jl. Dr Herizal Umar,0435-210880,,,,
GORONTALO,GORONTALO,L1,RSUD Bergerak ,Jl. Cimolati,085340180555,,,,
GORONTALO,GORONTALO,L4,Rumah Sakit Islam Gorontalo,Jl. Prof. HB. Jassin No. 334,0435-8780886,,,,
GORONTALO,GORONTALO,L4,Rumah Sakit Bunda Gorontalo,Jl. Prof. HB. Jassin No 269,0435-830600,,,,
GORONTALO,GORONTALO,L4,Rumah Sakit Sitti Khadidjah Gorontalo,Jl. Nani Wartabone No 101,0435-821253,,,,
GORONTALO,GORONTALO,S1,APOTEK MOTILANGO,"Jl. Prof, dr. H Aloei Saboe Kel. Wongkaditi Timur Kec. Kota Utara",(0435) 830198,,,,
GORONTALO,GORONTALO,S1,APOTEK KIMIA FARMA,Jl. Sultan Botutihe Kel. Ipilo Kec. Kota Timur,(0435) 827223,,,,
GORONTALO,GORONTALO,S1,APOTEK RAHMAT FIA FARMA,Kel. Hunggaluwa Kec Limboto,-,,,,
GORONTALO,GORONTALO,S3,Optik Internasional,Jl. Nani Wartabone Kec. Kota Selatan,087728412165,,,,
GORONTALO,GORONTALO,S3,Optik Mega,Jl. Imam Bonjol Kec. Kota Selatan,085230330010,,,,
GORONTALO,GORONTALO,S3,Optike Ceria,Jl. H.B. Jassin Kec. Kota Selatan,(0435) 828553,,,,
GORONTALO,GORONTALO,S3,Optik Metro,Jl. Raja Eyato Kec. Kota Selatan,085340366958,,,,
GORONTALO,GORONTALO,S3,Optik Cahaya,Kec. Limboto,-,,,,
PALU,KOTA PALU,P1,SANGURARA,JL. PADANJAKAYA,081377715684 / 04514763386,,,,
PALU,KOTA PALU,P1,TIPO,JL. MALONDA NO.171,081341210150,,,,
PALU,KOTA PALU,P1,KAWATUNA,JL. BULU MASOMBA NO.1,085242028943,,,,
PALU,KOTA PALU,P1,MABELOPURA,JL. GUSTI NGURAH RAI,081802215090,,,,
PALU,KOTA PALU,P1,BULILI,JL. ADAM MALIK NO.2,0811459505,,,,
PALU,KOTA PALU,P1,TAWAELI,JL. TRANS SULAWESI KEL. LAMBARA,08124271587,,,,
PALU,KOTA PALU,P1,PANTOLOAN,Jl. Samudra No. 380,0451492233,,,,
PALU,KOTA PALU,P1,MAMBORO,JL. LENTORA KM 13,085242164118,,,,
PALU,KOTA PALU,P1,KAMONJI,JL. IMAM BONJOL NO.20,0451458307,,,,
PALU,KOTA PALU,P1,BIROBULI,JL. ABDUL RAHMAN SALEH,0451481747,,,,
PALU,KOTA PALU,P1,SINGGANI,JL. MOH. HATTA NO.5,0451451569,,,,
PALU,KOTA PALU,P1,TALISE,JL. YOS SUDARSO NO.2,0451457865,,,,
PALU,DONGGALA,P1,OGOAMAS,JL.GUNUNG SOJOL DESA OGOAMAS I,082364311128,,,,
PALU,DONGGALA,P1,BALUKANG,JL.PELABUHAN NO. 87 DESA BALUKANG,081245222077,,,,
PALU,DONGGALA,P1,SABANG,JL.DG. PALANDRO NO. 29 A DESA SABANG,081242131318,,,,
PALU,DONGGALA,P1,TAMBU,JL.POROS TAMBU - KASIMBAR DESA TAMBU,085255725656,,,,
PALU,DONGGALA,P1,MALEI,DESA MALEI ,081354412163,,,,
PALU,DONGGALA,P1,TOMPE,JL.PROTOKOL KM 85 DESA TOMPE,081354451765,,,,
PALU,DONGGALA,P1,BATUSUYA,JL.POROS PALU - SABANG KM 63 DESA BATUSUYA,082197159424,,,,
PALU,DONGGALA,P1,TOAYA ,JL.PUSKESMAS DESA TOAYA ,081245386666,,,,
PALU,DONGGALA,P1,LABUAN,JL.RAPAUNJA NO. 7 DESA LABUAN ,081354380030,,,,
PALU,DONGGALA,P1,WANI,JL.KH. MOH. ARSYAD NO. 17 DESA WANI ,081341270207,,,,
PALU,DONGGALA,P1,DONGGALA,JL.KESEHATAN NO. 7 KEL. BOYA ,081343774108,,,,
PALU,DONGGALA,P1,LEMBASADA,DESA TOLONGANO ,081340833822,,,,
PALU,DONGGALA,P1,LALUNDU,DESA BUKIT INDAH ,082193576020,,,,
PALU,DONGGALA,P1,PINEMBANI,DESA TAMODO ,,,,,
PALU,DONGGALA,P1,LALUNDU DESPOT,DESA LALUNDU,,,,,
PALU,SIGI,P1,DOLO,JL.TRANS PALU-KULAWI DESA KOTARINDAU,8124215339,,,,
PALU,SIGI,P1,KALEKE,JL.POROS PALU-BANGGA DESA KALEKE,81332727000,,,,
PALU,SIGI,P1,BALUASE,JL.PALU-BANGGA KM.36 DESA BALUASE,81321747887,,,,
PALU,SIGI,P1,BIROMARU,JL.PRAMUKA  DESA MPANAU BIROMARU,81383322230,,,,
PALU,SIGI,P1,PALOLO,DESA MAKMUR,82394846580,,,,
PALU,SIGI,P1,KAMAIPURA,JL.POROS PALU-KULAWI DESA SIBALAYA,81354244488,,,,
PALU,SIGI,P1,TONGOA BANPRES,JL.POROS PALU-NAPU KM.60 DESA UWENUNI,81341397988,,,,
PALU,SIGI,P1,PANDERE,PANDERE,82192220682,,,,
PALU,SIGI,P1,KULAWI,DESA BOLAPAPU,82348295758,,,,
PALU,SIGI,P1,GIMPU,JL.POROS PALU-GIMPU DESA LAWUA ,81232660696,,,,
PALU,SIGI,P1,LINDU,DESA TOMADO,85397303485,,,,
PALU,SIGI,P1,MARAWOLA,JL.PALU-BANGGA DESA BINANGGA,81341234803,,,,
PALU,SIGI,P1,DOMBUSOI,DOMBU,85256965151,,,,
PALU,SIGI,P1,TINGGEDE,JL.LASAGANTI DESA TINGGEDE,81354283133,,,,
PALU,SIGI,P1,KANTEWU,KANTEWU,85396882752,,,,
PALU,SIGI,P1,NOKILALAKI,DESA KAMARORA A,81341052670,,,,
PALU,SIGI,P1,BANASU,BANASU,85341184906,,,,
PALU,SIGI,P1,TOWULU,DESA TOWULU KECAMATAN KULAWI,81341441174,,,,
PALU,SIGI,P1,KINOVARO,JL.TADULAKO DESA PORAME,8124487021,,,,
PALU,PARIGI,P1,TINOMBO,TRANS SULAWESI,82194347121,,,,
PALU,PARIGI,P1,TADA,TRANS SULAWESI,81341487842,,,,
PALU,PARIGI,P1,MOUTONG,TRANS PALU MANADO,81322862408,,,,
PALU,PARIGI,P1,LAMBUNU I,DESA WANAMUKTI,82393721426,,,,
PALU,PARIGI,P1,LAMBUNU II,TRANS PALU MANADO,81354298703,,,,
PALU,PARIGI,P1,AMPIBABO,TRANS SULAWESI,8129782174,,,,
PALU,PARIGI,P1,KASIMBAR,TRANS SULAWESI,85394600882,,,,
PALU,PARIGI,P1,TOMINI,DESA TOMINI,81241131100,,,,
PALU,PARIGI,P1,MEPANGA,JL. NUSANTARA,85241101206,,,,
PALU,PARIGI,P1,PALASA,TRANS SULAWESI,85241245736,,,,
PALU,PARIGI,P1,PARIGI,JL. PACUAN KUDA NO.305,811455401,,,,
PALU,PARIGI,P1,TORUE,TRANS PALU POSO DESA TORUE,81341242833,,,,
PALU,PARIGI,P1,SAUSU,TRANS SULAWESI,81317119229,,,,
PALU,PARIGI,P1,PANGI,TRANS SULAWESI,81354266299,,,,
PALU,PARIGI,P1,SUMBERSARI,JL. GUNUNG MULYA NO.321,82347373375,,,,
PALU,PARIGI,P1,BALINGGI,JL. POROS TOLAI MALAKOSA,81354502396,,,,
PALU,PARIGI,P1,LOMPENTODEA,DESA BALIARA,82346303999,,,,
PALU,PARIGI,P1,SINIU,JL. TRANS SULAWESI,85396876733,,,,
PALU,PARIGI,P1,SIENJO,JL. TRANS SULAWESI,82191811910,,,,
PALU,PARIGI,P1,ONGKA,JL. TRANS SULAWESI,82190526810,,,,
PALU,PARIGI,P1,TAOPA,DESA TAOPA,82336159886,,,,
PALU,TOLI-TOLI,P1,BANGKIR,TRANS DONGGALATOLITOLI,81354575456,,,,
PALU,TOLI-TOLI,P1,KOTA TOLITOLI,PANASAKAN,81354389091,,,,
PALU,TOLI-TOLI,P1,OGOTUA,TRANS DONGGALATOLITOLI,85241012398,,,,
PALU,TOLI-TOLI,P1,BAOLAN,BAOLAN,81354351707,,,,
PALU,TOLI-TOLI,P1,LAMPASIO,LAMPASIO,81245460831,,,,
PALU,TOLI-TOLI,P1,DONDO,DONDO,81355185762,,,,
PALU,TOLI-TOLI,P1,BASIDONDO IV ,DONDO,85241453435,,,,
PALU,TOLI-TOLI,P1,LALOS,LALOS,,,,,
PALU,TOLI-TOLI,P1,LAULALANG,TRANS TOLITOLI BUOL,85240705337,,,,
PALU,TOLI-TOLI,P1,OGODEIDE,BILO,85399080910,,,,
PALU,TOLI-TOLI,P1,DAKOPAMEAN/DUNGINGIS,DUNGINGIS,85241321727,,,,
PALU,TOLI-TOLI,P1,KAYU LOMPA ,KAYU LOMPA,85298539988,,,,
PALU,TOLI-TOLI,P1,KOMBO,KOMBO,81242751778,,,,
PALU,TOLI-TOLI,P1,BINONTOAN,JL. MUH KUMAY,82345550520,,,,
PALU,BUOL,P1,BUNOBOGU,BUNOBOGU,81341199868,,,,
PALU,BUOL,P1,LAKEA,TRANS BUOL TOLITOLI,81943566758,,,,
PALU,BUOL,P1,BOKAT,BOKAT,81341154853,,,,
PALU,BUOL,P1,MODO,MODO,85241017668,,,,
PALU,BUOL,P1,MOMUNU,MOMUNU,81245244538,,,,
PALU,BUOL,P1,BOILAN,BOILAN,85241141055,,,,
PALU,BUOL,P1,BUDILATAMA,MATINAN,81341209987,,,,
PALU,BUOL,P1,PALELEH,PALELEH,81341321201,,,,
PALU,BUOL,P1,LIPUNOTO,KALI,81244562771,,,,
PALU,BUOL,P1,KARAMAT,KARAMAT,81355451656,,,,
PALU,BUOL,P1,PALELEH BARAT,TIMBULON,81341416067,,,,
PALU,PALU,P2,DR. ELLY TAMBING,Jl. BTN Baliase Permai Blok AC3 No.2,081341234803,,,,
PALU,PALU,P2,DR. JUMRIANI,Jl. Setiabudi,08124242828,,,,
PALU,PALU,P2,DR. FERRY BAAN,"Apotek Kalinado, Jl. Sam Ratulangi No. 69",081341232977 / 0451428739 / 0451453980,,,,
PALU,PALU,P2,"DR. ATIKA, M.KES",Jl. BTN Palupi Permai Blok O2/G2,08124131973 / 0451486144,,,,
PALU,PALU,P2,DR. SUGIHARTI,"Apotek Rama, Jl. S. Parman No. 24",081354500357 / 0451422398,,,,
PALU,PALU,P2,KLINIK BASUKI RAHMAT,"Jl. Basuki Rahmat No. 101, Palu",08114500430 / 0451486877,,,,
PALU,PALU,P2,DR. TENRISANA RIFAI,"Apotek Mamboro, Jl. Trans Sulawesi No. 147A",081341364242 / 04514704446,,,,
PALU,PALU,P2,DR. ROYKE ABRAHAM,"Apotek Novita, Jl. Imam Bonjol No. 19",08524107006 / 0451425473,,,,
PALU,PALU,P2,DR. ROCHMAT YASIN,"Apotek Zam Zamy, Jl. Puebongo No. 2",0811452232,,,,
PALU,PALU,P2,DR. MEIKE RUSLAN,"Apotek Fatra, Jl. Dr. Suharso no. 6",081354342437 / 0451422677,,,,
PALU,PALU,P2,DR.BENNY SIYULAN,"Apotek Permata, Jl. Basuki Rahmat No.33",0811457448,,,,
PALU,PALU,P2,DR. MUHAMMAD NATSIR,"Apotek Amalia, Jl. Martadinata",085242164118,,,,
PALU,PALU,P2,DR. YULIANA RAMBA,Jl. Ramba No. 8,081354895711,,,,
PALU,PALU,P2,DR.PURWANINGSIH,Apotek Kharisma  Jl. Veteran,081341325820 / 0451421369,,,,
PALU,PALU,P2,DR. MUH. AKBAR,"Apotek Linda Farma, Jl. WR. Supratman No. 54",08124217986 / 0411451716,,,,
PALU,PALU,P2,DR. I KETUT SUARAYASA,"Apotek Tawaeli Farma, Jl. Yodo Kelurahan Panau, Kec. Palu Utara",0811459550 / 0451492700,,,,
PALU,PALU,P2,DR. ANGGRAINI  ANANG,"Apotek Kopegtel Anutapura,  Jl. Ahmad Dahlan No.3",085241471118 / 04514775962 / 0451 4701464,,,,
PALU,PALU,P2,DR. ROSALIA S PALLINGI,Jln. Dewi sartika No. 14,081340739955,,,,
PALU,PALU,P2,DR. ROSSALIN T LAGO,Jln. Suharso No. 04 Palu,082291527140,,,,
PALU,PALU,P3,DRG. CA INA,Apotek Kimia Farma Jl. Juanda No.57,081341019664 / 0451421369,,,,
PALU,PALU,P3,DRG. ANDI ROSADI,"Apotek Singgani Pura, Jl. Jend. Sudirman No. 24",081341083165,,,,
PALU,PALU,P3,DRG. CHEARIYATIE MUIN,"Jl. Basuki Rahmat No. 101, Palu",08114500430,,,,
PALU,PALU,P3,DRG. LUTFIAH,"Apotek Sahabuddin Farma, Jl. Dr. Suharso no. 29",085242142657,,,,
PALU,PALU,P3,DRG. NI NYOMAN SUTRINI,"Apotek Tawaeli Farma, Jl. Yodo Kelurahan Panau, Kec. Palu Utara",081341210150 / 0451492700,,,,
PALU,PALU,P3,DRG. YULIA APRIANTI,"Apotek Munira Farma, Jl. Imam Bonjol No.32",081341011186,,,,
PALU,PALU,P3,DRG. MEILIANA,Jln. Dewi Sartika No. 14,081332506104,,,,
PALU,PALU,P5,Poliklinik Yonif 711/Rks,"Jln. Emy Saelan, Kel Taturra Selatan", 0451-487875,,,,
PALU,PALU,P6,Poliklinik Biddokkes POLDA Sulteng,Jln. A. R. Hakim No. 05,,,,,
PALU,PALU,P6,Poliklinik Brimob,Jl. Trans Sulawesi Km 13 Palu Sulteng,,,,,
PALU,PALU,P6,SPN Labuan Panimba,Jln. Mastitudju Labuan,,,,,
PALU,PALU,P6,Poliklinik Polres Donggala,Jln. Ebony No. 1,,,,,
PALU,PALU,P6,Poliklinik Parimo,Jln. Trans Sulawesi,,,,,
PALU,TOLI-TOLI,P6,Poliklinik Toli-Toli,Jln Daud Lapau No. 01,,,,,
PALU,PALU,P6,Poliklinik Buol,Jln. Bhayangkara No. 09,,,,,
PALU,PALU,L1,RSUD Undata,Jl. Jl. Suharso No. 14 Palu,(O451) 421370,B,,,
PALU,PALU,L1,RSU Anutapura,Jl. Kangkung No.1   Palu,(O451) 421570,B,,,
PALU,PALU,L1,BRSD Anuntaloko Parigi,Jl. Sis Aljufri Parigi No.214 ,(O450) 22251,B,,,
PALU,TOLI-TOLI,L1,RSUD Mokopido Tolitoli,Jl. Lanoni Tolitoli ,(O451) 21300,B,,,
PALU,BUOL,L1,RSUD Buol,Jl. RM. Pusadan No. 101 Buol,(O455) 211018,C,,,
PALU,DONGGALA,L1,RSUD Kabelota Donggala,Jl. Trans Palu Donggala,(O457) 71892,D,,,
PALU,PALU,L2,RS. Wirabuana,Jl. Sisingan Mangaraja No. 14,(O451) 421575,Tkt IV,,,
PALU,PALU,L3,RS. Bhayangkara,"Jl. Dr. Suharso, Lorong III No. 2",(0451) 429714,Tkt IV,,,
